Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,Link,Publisher,Document Type,Source,EID
Huang Z.; Feng C.; Wu F.; Shi Z.; Wang Y.; Zhang Z.; Huang R.; Duan W.; Tian L.; Lv Y.; Gong X.; Gong Z.; Dang Z.; Li F.,"Huang, Ziyuan (57710537200); Feng, Chunhua (34871821000); Wu, Fengchang (7403465569); Shi, Zhenqing (55468494300); Wang, Yang (59532012200); Zhang, Zhuoyu (60246305500); Huang, Rimei (60246228900); Duan, Weijian (57208710117); Tian, Li (59216284000); Lv, Yijin (57208299929); Gong, Xinying (57195239840); Gong, Zhengjun (7201949108); Dang, Zhi (35204783000); Li, Fangbai (24484830300)",57710537200; 34871821000; 7403465569; 55468494300; 59532012200; 60246305500; 60246228900; 57208710117; 59216284000; 57208299929; 57195239840; 7201949108; 35204783000; 24484830300,Electroextraction of low-concentration redox-active heavy metals with Eθ < 0 V from acid mine drainage,2025,Proceedings of the National Academy of Sciences of the United States of America,122,51,e2519564122,,,0,https://www.scopus.com/pages/publications/105025172231?origin=resultslist,National Academy of Sciences,Article,Scopus,2-s2.0-105025172231
Martins L.A.; Pereira N.; Mendes-Felipe C.; Costa C.M.; Lanceros-Mendez S.; Gomez-Ribelles J.L.,"Martins, Luis Amaro (57355407900); Pereira, Nelson (57193402573); Mendes-Felipe, Cristian (57204178166); Costa, Carlos Miguel (57203755665); Lanceros-Mendez, Senentxu (57211501457); Gomez-Ribelles, Jose Luis (7005194174)",57355407900; 57193402573; 57204178166; 57203755665; 57211501457; 7005194174,Fabrication of high-performance electroactive poly(vinylidene fluoride)/magnetic nanoparticle composites via mechanical compression for deformation sensing sensor,2025,Polymer,340,,129278,,,2,https://www.scopus.com/pages/publications/105020375053?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105020375053
Bairy G.; Bera K.; Samanta A.; Mazumder P.; Bhowmik S.; Banerjee M.; Kundu S.; Sinha C.,"Bairy, Gurupada (57195052126); Bera, Krishnendu (57288956900); Samanta, Arnab (59213306900); Mazumder, Prasita (59032973100); Bhowmik, Saumitra (57557833400); Banerjee, Mrinmayee (60092070100); Kundu, Subrata (57204293164); Sinha, Chittaranjan (7102111901)",57195052126; 57288956900; 59213306900; 59032973100; 57557833400; 60092070100; 57204293164; 7102111901,"A Redox-Active 1D Co(II) Coordination Polymer and Its Ni-Composite: Structure, Surface Characterization, and Application in the Water Splitting Reaction",2025,ACS Applied Materials and Interfaces,17,52,,70651,70666,1,https://www.scopus.com/pages/publications/105026203716?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105026203716
Li H.; He Y.; Zou D.; Xu M.; Liu J.; Tong Z.; Zhu M.; Tang J.; Xu T.; Yan L.; Meng H.,"Li, Hongyang (58701034800); He, Yaowu (57188557345); Zou, Dongwen (58946439100); Xu, Meili (57196942133); Liu, Jingyan (60052422200); Tong, Zizheng (58931373900); Zhu, Meimei (59213695100); Tang, Jinyuan (60205572600); Xu, Tianhe (59247882100); Yan, Lijia (57188564391); Meng, Hong (7202279106)",58701034800; 57188557345; 58946439100; 57196942133; 60052422200; 58931373900; 59213695100; 60205572600; 59247882100; 57188564391; 7202279106,Smart energy-saving windows enabled by transparent-to-black ultra-low voltage polytriphenylamines,2025,Chemical Engineering Journal,526,,170887,,,1,https://www.scopus.com/pages/publications/105022596402?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105022596402
Liu R.; Li F.; Xu L.; Luo M.; Tan Y.; Guo J.; Wu Z.,"Liu, Ruowei (59912252300); Li, Fang (57201675055); Xu, Longping (59911995100); Luo, Mingming (59506266200); Tan, Yijun (59507126200); Guo, Junjie (55709466300); Wu, Zijian (57191958398)",59912252300; 57201675055; 59911995100; 59506266200; 59507126200; 55709466300; 57191958398,Nanomaterial-Based Aptasensors for the Detection of Aflatoxin B1: A Review,2025,Food and Bioprocess Technology,18,12,,10183,10208,3,https://www.scopus.com/pages/publications/105019082868?origin=resultslist,Springer,Review,Scopus,2-s2.0-105019082868
Liu L.; Sun J.,"Liu, Lin (60251776900); Sun, Jinhua (55632797300)",60251776900; 55632797300,Impedance of Battery Primary Particles with a Solid–Electrolyte Interphase: Physical Models and Electrical Circuit Analogs,2025,Journal of Physical Chemistry C,129,51,,22575,22589,0,https://www.scopus.com/pages/publications/105025562102?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105025562102
Luo M.; Feng W.; Karuthedath S.; Yu K.; Li B.; Kang F.; Li M.,"Luo, Mingwu (60168247900); Feng, Wei (59723699400); Karuthedath, Safakath (55220140100); Yu, Kuang (57209320237); Li, Bo (60168178200); Kang, Feiyu (56962751400); Li, Mengyao (57205031259)",60168247900; 59723699400; 55220140100; 57209320237; 60168178200; 56962751400; 57205031259,Multifunctional redox-active electrolyte additives as Zn anode stabilizers for Zn-based energy storage devices,2025,Chemical Engineering Journal,525,,170282,,,0,https://www.scopus.com/pages/publications/105020669920?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105020669920
Hussain S.; Chandio I.; Rashid M.A.; Sadiq I.; Baig J.A.; Solangi S.A.; Shahbaz M.; Thebo K.H.,"Hussain, Sajjad (57755755500); Chandio, Imamdin (57220042806); Rashid, Md Abdur (57209172957); Sadiq, Imran (42962217300); Baig, Jameel Ahmed (35565546600); Solangi, Shakoor Ahmed (57697551000); Shahbaz, Muhammad (57217841761); Thebo, Khalid Hussain (35087001200)",57755755500; 57220042806; 57209172957; 42962217300; 35565546600; 57697551000; 57217841761; 35087001200,Synthesis of nano-ferrites-based materials: A new paradigm for electrochemical sensors,2025,Journal of Environmental Chemical Engineering,13,6,120218,,,1,https://www.scopus.com/pages/publications/105022713915?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105022713915
Huang H.; Han D.; Xu Z.; Tang W.; Lin S.; Lin S.; Zhang L.; Yilmaz M.; Lai L.,"Huang, Haitao (59305989500); Han, Dong (57671911100); Xu, Zhanye (59532463200); Tang, Weijie (59306453800); Lin, Shuhong (60171601700); Lin, Sheng (60171601800); Zhang, Lili (59374439500); Yilmaz, Murat (57373810300); Lai, Linfei (24469987100)",59305989500; 57671911100; 59532463200; 59306453800; 60171601700; 60171601800; 59374439500; 57373810300; 24469987100,Self-wrinkled chitosan and polyacrylic acid-based hydrogel electrodes for energy storage and sensing applications,2025,Polymer,341,,129237,,,2,https://www.scopus.com/pages/publications/105020813314?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105020813314
Bashir K.; Mujahid A.; Afzal A.,"Bashir, Kanwal (60176655000); Mujahid, Adnan (25638947300); Afzal, Adeel (20336578800)",60176655000; 25638947300; 20336578800,A conductive poly(m-aminophenol) interface for α-lipoic acid detection in NELL-1 membranous nephropathy,2025,Materials Advances,6,24,,9829,9840,1,https://www.scopus.com/pages/publications/105024856316?origin=resultslist,Royal Society of Chemistry,Article,Scopus,2-s2.0-105024856316
Naghshbandi Z.; Salimi A.; Feizabadi A.,"Naghshbandi, Zhwan (57201075625); Salimi, Abdollah (57198900488); Feizabadi, Ali (57224936427)",57201075625; 57198900488; 57224936427,Hierarchical assembled sulfur-doped Mo—Fe polyoxometalate/ZIF-67 on Ni foam: A novel and efficient electrocatalyst for water splitting and urea oxidation,2025,Journal of Electroanalytical Chemistry,999,,119580,,,2,https://www.scopus.com/pages/publications/105024751490?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105024751490
Ruiyi L.; Yue P.; Miao W.; Zaijun L.,"Ruiyi, Li (55369502500); Yue, Pan (59342375700); Miao, Wang (60035757800); Zaijun, Li (55869545300)",55369502500; 59342375700; 60035757800; 55869545300,Zeptomolar microrna-141 detection enabled by Au0.5VCrMnFe high-entropy alloy nanocatalyst and cascade DNA walker,2025,Microchemical Journal,219,,116156,,,1,https://www.scopus.com/pages/publications/105021545748?origin=resultslist,Elsevier Inc.,Article,Scopus,2-s2.0-105021545748
Liu Y.; Shuai L.; Cao L.; Zhu Q.; Fan L.; Xu L.; Xiong S.,"Liu, Yin (59236530000); Shuai, Liang (56137046900); Cao, Lei (57191537324); Zhu, Qian (57627909900); Fan, Lanlan (57061401700); Xu, Liang (57075321500); Xiong, Shixian (37064019300)",59236530000; 56137046900; 57191537324; 57627909900; 57061401700; 57075321500; 37064019300,Ru/CeO2-x boosts ultrasensitive carbendazim sensing via interfacial oxygen vacancy-Ru Lewis acid-base pairs,2025,Journal of Alloys and Compounds,1048,,185334,,,2,https://www.scopus.com/pages/publications/105023176427?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105023176427
Wang S.; Lu H.-L.; Feng T.-Y.; Liu Z.-C.; Ren M.-Q.; Cui D.; Peng Y.-Z.,"Wang, Shuai (58010394700); Lu, Hong-Li (60054660600); Feng, Tong-Yang (60162920600); Liu, Zhuo-Chao (57541403500); Ren, Mei-Qi (59768913400); Cui, Dan (55386540200); Peng, Yong-Zhen (57218718553)",58010394700; 60054660600; 60162920600; 57541403500; 59768913400; 55386540200; 57218718553,Performance and mechanistic insights into denitrification enhancement by PPy/rGO-modified carbon felt biocathodes,2025,Chemical Engineering Journal,525,,170143,,,0,https://www.scopus.com/pages/publications/105020265991?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105020265991
Ji D.; Han H.; Li J.; Fei X.; Wang X.; Wang Z.; Song T.; Yang L.; Zhang Z.; Cao W.; Han J.; Zhu J.,"Ji, Dongchao (57220576886); Han, Hongyang (59947292800); Li, Jiajun (57226403020); Fei, Xiaoman (60076849500); Wang, Xiaolei (57911643100); Wang, Zhuochao (57899754700); Song, Tao (57220824347); Yang, Lei (60025648100); Zhang, Zhibo (57219094538); Cao, Wenxin (55611797600); Han, Jiecai (60021442200); Zhu, Jiaqi (12790824800)",57220576886; 59947292800; 57226403020; 60076849500; 57911643100; 57899754700; 57220824347; 60025648100; 57219094538; 55611797600; 60021442200; 12790824800,Ultra-Robust Conductive Hydrogels Enabled by a Gradient Bond-Breaking Pseudo-Drying Strategy,2025,Advanced Science,12,45,e12144,,,3,https://www.scopus.com/pages/publications/105017966997?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105017966997
