Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Cited by,Link,Publisher,Document Type,Source,EID
Wei Y.; Yi W.; Chen L.; Shi H.; Robert M.; Lau T.-C.; Chen G.,"Wei, Yue (59276745600); Yi, Wangxiyue (60104069000); Chen, Lingjing (55270605000); Shi, Huatian (26031812300); Robert, Marc (7202432051); Lau, Tai-Chu (7102222310); Chen, Gui (55580788300)",59276745600; 60104069000; 55270605000; 26031812300; 7202432051; 7102222310; 55580788300,Cobalt Pyrene-Quaterpyridine Molecular Complex Immobilized on Functionalized Multi-Walled Carbon Nanotubes as a Robust Hybrid Catalyst for Efficient Electrochemical Reduction of CO2,2025,Advanced Science,12,44,e09854,,,5,https://www.scopus.com/pages/publications/105016353394?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105016353394
Mathur V.; Agarwal P.; Kasturi M.; Varadharajan S.; Devi E.S.; Vasanthan K.S.,"Mathur, Vidhi (57418116700); Agarwal, Prachi (57418501900); Kasturi, Meghana (58466326400); Varadharajan, S. (55369726100); Devi, Elsa Sanatombi (55772322600); Vasanthan, Kirthanashri S. (52264819600)",57418116700; 57418501900; 58466326400; 55369726100; 55772322600; 52264819600,Transformative bioprinting: 4D printing and its role in the evolution of engineering and personalized medicine,2025,Discover Nano,20,1,118,,,22,https://www.scopus.com/pages/publications/105011263243?origin=resultslist,Springer,Review,Scopus,2-s2.0-105011263243
Yang J.; Li W.; Fang M.; Yao J.; Wang Z.; Jiang Z.; Sun J.; Wang L.,"Yang, Junjie (56505766900); Li, Weilong (59728075700); Fang, Mingjian (58420387500); Yao, Jintong (57218129153); Wang, Zhijie (57192240677); Jiang, Zhen (58417706900); Sun, Jihong (59728467100); Wang, Longfei (60513964700)",56505766900; 59728075700; 58420387500; 57218129153; 57192240677; 58417706900; 59728467100; 60513964700,Enhancing flexible actuation and fatigue resistance in biomass hydrogel artificial muscles through the multi-layer stacking of carbon nanofiber and electrochemically active composite films,2025,Smart Materials and Structures,34,12,125018,,,1,https://www.scopus.com/pages/publications/105033339021?origin=resultslist,Institute of Physics,Article,Scopus,2-s2.0-105033339021
Hu Y.; Wang A.; Zhang Z.; Xue J.; Sung H.-K.; Chernogor L.; Li Y.; Yao Z.; Li Y.,"Hu, Yahui (60256881600); Wang, Ao (60256657700); Zhang, Zhongtao (57206281438); Xue, Jingwei (55307933700); Sung, Ho-Kun (55359223700); Chernogor, Leonid (6603410837); Li, Yuanyue (55999581800); Yao, Zhao (55873073000); Li, Yang (55780443000)",60256881600; 60256657700; 57206281438; 55307933700; 55359223700; 6603410837; 55999581800; 55873073000; 55780443000,Self-powered pressure sensor based on zinc–nickel electrochemistry for warning and detection of Parkinson's disease,2025,Journal of Materials Chemistry A,13,44,,38009,38023,0,https://www.scopus.com/pages/publications/105025979046?origin=resultslist,Royal Society of Chemistry,Article,Scopus,2-s2.0-105025979046
Abid M.B.; Shamim A.; Gul-E-Nayyab; Gzara L.; Moujdin I.A.; Baig N.; Wahab R.A.,"Abid, Monis Bin (59113968400); Shamim, Aisha (59151146300); Gul-E-Nayyab (59346946500); Gzara, Lassaad (6505982331); Moujdin, Iqbal Ahmed (23972633800); Baig, Nadeem (9133257900); Wahab, Roswanira Abdul (57219859702)",59113968400; 59151146300; 59346946500; 6505982331; 23972633800; 9133257900; 57219859702,In-Situ Electrospun TEOS-Modified Superhydrophobic PVDF-HFP Membrane (UPM4) for Enhanced Direct Contact Membrane Distillation,2025,Journal of Applied Polymer Science,142,44,e57707,,,1,https://www.scopus.com/pages/publications/105012296003?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105012296003
Mingliang Z.; Mosleh A.T.; Ragab N.A.M.; Essam O.A.; Zahran H.Y.; Ganesh V.; Massoud E.E.-S.; Alkhalifah M.A.; Kamoun E.A.; Yahia I.S.,"Mingliang, Zheng (57203342731); Mosleh, Ahmed T. (58713076700); Ragab, Nourhan A.M. (59958503600); Essam, Omar A. (60735128900); Zahran, Heba Y. (16318086800); Ganesh, V. (23110471300); Massoud, Ehab El-Sayed (57214790394); Alkhalifah, Mohammed A. (57200181889); Kamoun, Elbadawy A. (36465260900); Yahia, Ibrahim S. (14421963500)",57203342731; 58713076700; 59958503600; 60735128900; 16318086800; 23110471300; 57214790394; 57200181889; 36465260900; 14421963500,"Multifunctional NiO-decorated graphene nanocomposites as a potential electrocatalytic, photo-electrocatalytic degradation of methylene blue dye: Structure, optical and electrical properties",2025,Materials Chemistry and Physics,346,,131400,,,4,https://www.scopus.com/pages/publications/105012592842?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105012592842
Ahmed B.O.; Hardianto Y.P.; Rifky Hakim A.S.; Hussain A.; Islam N.; Johan B.A.; Shah S.S.; Ogawa T.; Aziz M.A.,"Ahmed, Basil Osama (60217666000); Hardianto, Yuda Prima (57194700023); Rifky Hakim, Ananda Sholeh (60173272600); Hussain, Arshad (57669538000); Islam, Nahid (60077130500); Johan, Bashir Ahmed (58149446900); Shah, Syed Shaheen (60424266700); Ogawa, Takaya (36160620800); Aziz, Md. Abdul (58181065600)",60217666000; 57194700023; 60173272600; 57669538000; 60077130500; 58149446900; 60424266700; 36160620800; 58181065600,Electrodeposited Polyaniline on Steel Mesh: Experimental and Theoretical Insights for Zinc-Ion Batteries,2025,ACS Applied Polymer Materials,7,22,,15606,15618,2,https://www.scopus.com/pages/publications/105023430804?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105023430804
Sun Y.; Miao D.; Zeng Z.; Li X.; Pu Y.; Liu L.; Ji C.; Zhuang Z.; Huang C.; Xiong R.,"Sun, Ying (59560447200); Miao, Dongyang (57202399546); Zeng, Ziyuan (57669011300); Li, Xinyue (60398554500); Pu, Yingchen (59918522000); Liu, Luoming (59399048500); Ji, Chong (59560244500); Zhuang, Zhulun (59559242000); Huang, Chaobo (12779166500); Xiong, Ranhua (55940501100)",59560447200; 57202399546; 57669011300; 60398554500; 59918522000; 59399048500; 59560244500; 59559242000; 12779166500; 55940501100,Recent Advances in Micro/Nanoneedle Arrays Mediated Intracellular Delivery of Biomacromolecules In Vitro and In Vivo,2025,Advanced Functional Materials,35,45,2422234,,,11,https://www.scopus.com/pages/publications/105006805498?origin=resultslist,John Wiley and Sons Inc,Review,Scopus,2-s2.0-105006805498
Alias A.H.D.; Shafie M.H.,"Alias, Abu Hurairah Darwisy (58677626900); Shafie, Muhammad Hakimin (57202812685)",58677626900; 57202812685,Designing acidic hydrophilic deep eutectic solvents: Impact of synthesis conditions on physicochemical properties and antioxidant capacity,2025,Journal of the Indian Chemical Society,102,12,102211,,,7,https://www.scopus.com/pages/publications/105022185392?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105022185392
Getu A.A.; Dessie W.; Sugira Murekezi J.; Sarker M.S.; Chen G.; Hazzan O.O.; Xiao Y.,"Getu, Asmamaw Abat (58209202600); Dessie, Wubliker (57195720997); Sugira Murekezi, Juvens (59364157800); Sarker, Md Sourav (60258306500); Chen, Geng (57248783000); Hazzan, Oluwadamilola Oluwatoyin (58856436100); Xiao, Yong (34878172100)",58209202600; 57195720997; 59364157800; 60258306500; 57248783000; 58856436100; 34878172100,Microbial Synergistic Interactions in Mixed Cultures for Improved and Sustainable Power Generation in Microbial Fuel Cells: A Review,2025,Sustainability (Switzerland),17,24,10942,,,2,https://www.scopus.com/pages/publications/105025944015?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),Review,Scopus,2-s2.0-105025944015
Li B.; Yang J.; Ji C.; Zhang H.; Huang L.; Luo C.; Liu Z.; Chen L.; Cheng D.; Zhao H.; Miao Q.; Li J.,"Li, Biyu (60194334400); Yang, Jiawei (57222083850); Ji, Chaoqun (60194507800); Zhang, Hongjie (56438079900); Huang, Liulian (16836780400); Luo, Chong (60194507900); Liu, Zhiwei (60193787400); Chen, Lihui (8430928500); Cheng, Dong (60132570800); Zhao, He (57061051500); Miao, Qingxian (14619563400); Li, Jianguo (55295738600)",60194334400; 57222083850; 60194507800; 56438079900; 16836780400; 60194507900; 60193787400; 8430928500; 60132570800; 57061051500; 14619563400; 55295738600,"Designing High-Strength, Sustainable Cellulose Ionogels by Optimization of Fiber Structure and Molecular Weight",2025,ACS Applied Polymer Materials,7,21,,15058,15065,1,https://www.scopus.com/pages/publications/105021858329?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105021858329
Hidayah S.N.; Arif K.M.; Sharaniza A.R.; Abid A.M.; Surajudeen S.; Muzamir M.M.,"Hidayah, Shahemi Nur (57190343896); Arif, Kasri Mohamad (60256704700); Sharaniza, Ab Rahim (60256815500); Abid, Amir Muhammad (60256929800); Surajudeen, Sikiru (57211586355); Muzamir, Mahat Mohd (60256929900)",57190343896; 60256704700; 60256815500; 60256929800; 57211586355; 60256929900,Polypyrrole (PPy) coating concentration mediates electromagnetic coupling and oxidative protection for iron oxide core particles in biomedical applications,2025,Journal of Materials Chemistry C,13,44,,22144,22165,3,https://www.scopus.com/pages/publications/105025898156?origin=resultslist,Royal Society of Chemistry,Article,Scopus,2-s2.0-105025898156
Aishwarya A.; Lakra H.; Naskar A.; Dasgupta T.; Bhattacharyya A.R.,"Aishwarya, Ananya (59368321700); Lakra, Hemraj (59699466900); Naskar, Abhishek (59268020100); Dasgupta, Titas (55412550800); Bhattacharyya, Arup R. (7402673638)",59368321700; 59699466900; 59268020100; 55412550800; 7402673638,Green β-cyclodextrin exfoliated molybdenum sulphide based multifunctional poly(vinylidene fluoride) nanogenerators toward piezocatalytic water remediation,2025,Journal of Materials Chemistry A,13,43,,37333,37357,6,https://www.scopus.com/pages/publications/105018759731?origin=resultslist,Royal Society of Chemistry,Article,Scopus,2-s2.0-105018759731
Flores-Carrillo C.; Shibue T.; Suga T.; Flores M.E.; Bose R.K.; Moreno-Villoslada I.,"Flores-Carrillo, Camilo (60680602300); Shibue, Toshimichi (7004608173); Suga, Takeo (35562464100); Flores, Mario E. (36091131600); Bose, Ranjita K. (27267581700); Moreno-Villoslada, Ignacio (6701411981)",60680602300; 7004608173; 35562464100; 36091131600; 27267581700; 6701411981,"ANALYSIS OF CARILITE OLIGOMERS AND THEIR FUNCTIONALIZATION WITH FURFURYLAMINE AT LOW CONVERSION BY GPC, NMR AND ESI-MASS SPECTROSCOPIES",2025,Journal of the Chilean Chemical Society,70,4,,6418,6423,0,https://www.scopus.com/pages/publications/105041067903?origin=resultslist,Sociedad Chilena de Quimica,Article,Scopus,2-s2.0-105041067903
Chen G.; Ma Z.; Ma C.; Liang J.; Wei J.; Wang X.; Chai C.,"Chen, Guojing (58547917800); Ma, Zhenqian (58866906800); Ma, Cankun (58259184300); Liang, Jiachen (60008754200); Wei, Jing (60008283500); Wang, Xinrui (58547791600); Chai, Chunpeng (22233394900)",58547917800; 58866906800; 58259184300; 60008754200; 60008283500; 58547791600; 22233394900,Green Solvent-Free MXene/Pectin Conductive Ink for Paper-Based Flexible Infrared Sensor,2025,Journal of Applied Polymer Science,142,43,e57664,,,1,https://www.scopus.com/pages/publications/105011267758?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105011267758
Fu Z.-J.; Chen Q.-W.; Han Z.-Y.; Liu C.-J.; Zhang X.-Z.,"Fu, Zhuang-Jiong (57202280697); Chen, Qi-Wen (57215021717); Han, Zi-Yi (57218374223); Liu, Chuan-Jun (8855811100); Zhang, Xian-Zheng (7410264815)",57202280697; 57215021717; 57218374223; 8855811100; 7410264815,Lactate-Fueled Bacteria Generator for Bioelectricity-Responsive Release of Antitumor Drug,2025,Advanced Healthcare Materials,14,29,e01995,,,3,https://www.scopus.com/pages/publications/105012030439?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105012030439
Han Z.; Sun P.; Huang M.; Tang Y.; Zhang Z.; Yu H.; Liu J.; Wu Y.; He P.; Tu Y.; Li B.,"Han, Ziyi (59219683600); Sun, Panjie (59219683800); Huang, Mengxin (59219683700); Tang, Yuanfang (60110314600); Zhang, Zhanyi (60110361400); Yu, Haonan (59135089100); Liu, Junsheng (57202198109); Wu, Yuanyuan (57191071492); He, Puming (55416843900); Tu, Youying (8260983600); Li, Bo (57191756297)",59219683600; 59219683800; 59219683700; 60110314600; 60110361400; 59135089100; 57202198109; 57191071492; 55416843900; 8260983600; 57191756297,Quaternized chitosan nanoparticles encapsulating EGCG-Zn complex: A novel approach to accelerate diabetic wound healing in mice,2025,Materials Today Advances,28,,100633,,,4,https://www.scopus.com/pages/publications/105016784758?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105016784758
Xie Y.; Li M.; Liu J.; Cao N.; Gu G.; Chao D.,"Xie, Yunfei (35747409600); Li, Meini (57199711480); Liu, Junbo (53063978100); Cao, Ningzhi (58828551100); Gu, Gaorui (59733428400); Chao, Danming (7103350974)",35747409600; 57199711480; 53063978100; 58828551100; 59733428400; 7103350974,Photovoltaic-driven electrochromic smart windows for net-zero energy buildings,2025,Chemical Engineering Journal,524,,169847,,,5,https://www.scopus.com/pages/publications/105018860219?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105018860219
Yadav M.K.; Yarlapati A.; Aditya Y.N.; Kesavan P.; Pandey V.; Perugu C.S.; Nain A.; Chatterjee K.; Suwas S.; Jayaraj J.; Prashanth K.G.,"Yadav, Mayank Kumar (57217057565); Yarlapati, Akshay (59392820200); Aditya, Yarlapati Naga (57222963926); Kesavan, Praveenkumar (59992880400); Pandey, Vaibhav (56305255800); Perugu, Chandra Shekhar (57191584029); Nain, Amit (57212493191); Chatterjee, Kaushik (56081683500); Suwas, Satyam (7003627765); Jayaraj, Jayamani (8661533800); Prashanth, Konda Gokuldoss (25652170500)",57217057565; 59392820200; 57222963926; 59992880400; 56305255800; 57191584029; 57212493191; 56081683500; 7003627765; 8661533800; 25652170500,Processing and Development of Porous Titanium for Biomedical Applications: A Comprehensive Review,2025,Journal of Manufacturing and Materials Processing,9,12,401,,,11,https://www.scopus.com/pages/publications/105025752779?origin=resultslist,Multidisciplinary Digital Publishing Institute (MDPI),Review,Scopus,2-s2.0-105025752779
Sengwa R.J.; Charan C.P.,"Sengwa, R.J. (7003441404); Charan, Chandra Prabha (57544394700)",7003441404; 57544394700,"Nanomaterial-in-Polymer-in-Nanomaterial Based PVDF/OMMT and P(VDF-HFP)/OMMT Composites: Thermal, Structural, Radio Frequencies Dielectric, Relaxation, and Electrical Properties",2025,Journal of Applied Polymer Science,142,43,e57673,,,3,https://www.scopus.com/pages/publications/105011360601?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105011360601
Zhou J.-E.; Li Y.; Lin X.; Ye J.,"Zhou, Jian-En (57204848288); Li, Yilin (57193717995); Lin, Xiaoming (55222391800); Ye, Jiaye (57204576335)",57204848288; 57193717995; 55222391800; 57204576335,Prussian Blue Analogue-Templated Nanocomposites for Alkali-Ion Batteries: Progress and Perspective,2025,Nano-Micro Letters,17,1,9,,,77,https://www.scopus.com/pages/publications/85204933678?origin=resultslist,Springer Science and Business Media B.V.,Review,Scopus,2-s2.0-85204933678
Wei C.; Zhang J.; Liu L.; Yan H.; Wang K.; He Y.; Cui M.; Zhu Z.; Zhu J.; Zhang W.; Wang Z.; Lu J.,"Wei, Chang (59440499700); Zhang, Junshi (55881847300); Liu, Lei (56582816100); Yan, Han (59217184000); Wang, Kaijun (60036087200); He, Yuzheng (60035937500); Cui, Minchao (57162192500); Zhu, Zicai (35797706000); Zhu, Jihong (56182545200); Zhang, Weihong (56151221000); Wang, Zuankai (60399977800); Lu, Jian (55513401700)",59440499700; 55881847300; 56582816100; 59217184000; 60036087200; 60035937500; 57162192500; 35797706000; 56182545200; 56151221000; 60399977800; 55513401700,Vinyl Acetate-Enhanced Polyvinyl Chloride Gel with High Electroadhesion and Self-Heating-Tunability for Soft Robots in Freezing Environments,2025,Advanced Science,12,41,e07757,,,8,https://www.scopus.com/pages/publications/105012991119?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105012991119
Abuhasheesh Y.; Banat F.; Show P.L.; Hasan S.W.,"Abuhasheesh, Yazan (58480419900); Banat, Fawzi (7006459182); Show, Pau Loke (47861451300); Hasan, Shadi W. (35738779100)",58480419900; 7006459182; 47861451300; 35738779100,"Electro-assisted microalgae cultivation, harvesting, and recovery of high-value products: A review",2025,Bioresource Technology,438,,133269,,,3,https://www.scopus.com/pages/publications/105015079884?origin=resultslist,Elsevier Ltd,Review,Scopus,2-s2.0-105015079884
Zhou Y.; Qiao J.; Fang E.,"Zhou, Yingmei (55571606000); Qiao, Junwei (57645595600); Fang, Enyin (57023469800)",55571606000; 57645595600; 57023469800,Structure of Bifunctional Planar Micro Supercapacitor and Electrochromic by Screen Printing Technology,2025,Medziagotyra,31,4,,441,445,0,https://www.scopus.com/pages/publications/105025167693?origin=resultslist,Kauno Technologijos Universitetas,Article,Scopus,2-s2.0-105025167693
Gopal K.; Lee J.; Jang S.R.; Choi S.Y.; Raj N.P.M.J.; Krishnamoorthi Kaliannagounder V.; Park C.H.,"Gopal, Kavitha (58523791400); Lee, Joonseok (59963771100); Jang, Se Rim (57210927153); Choi, So Yeun (60041122700); Raj, Nirmal Prashanth Maria Joseph (57203749815); Krishnamoorthi Kaliannagounder, Vignesh (57835367600); Park, Chan Hee (7408415576)",58523791400; 59963771100; 57210927153; 60041122700; 57203749815; 57835367600; 7408415576,Self-powered biodegradable nerve conduits for synergistic ultrasound-driven electrical stimulation and smart drug release,2025,Chemical Engineering Journal,524,,169713,,,5,https://www.scopus.com/pages/publications/105018850638?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105018850638
Yu X.; Wang L.; Zhang F.; Leng J.,"Yu, Xixian (60193955200); Wang, Linlin (57204142811); Zhang, Fenghua (57203503757); Leng, Jinsong (59648734700)",60193955200; 57204142811; 57203503757; 59648734700,"4D-Printed Shape Memory Polymer Composites: Innovations in Smart Structures, Processing Strategies, and Application Prospects",2025,ACS Applied Polymer Materials,7,21,,14015,14032,11,https://www.scopus.com/pages/publications/105021858332?origin=resultslist,American Chemical Society,Review,Scopus,2-s2.0-105021858332
El-Saady A.A.; Farag A.A.M.; Ibrahim M.A.; Mansour A.M.; El-Nahass M.M.; Salah N.; Magar H.S.,"El-Saady, A.A. (58288540100); Farag, A.A.M. (59048050900); Ibrahim, Magdy A. (7402468470); Mansour, A.M. (26434299600); El-Nahass, M.M. (6701589895); Salah, Nesma (57219294844); Magar, Hend S. (57193407567)",58288540100; 59048050900; 7402468470; 26434299600; 6701589895; 57219294844; 57193407567,"Exploring the Structural, Optical, and electrochemical behavior of semicarbazone pyranoquinoline ligand (PQMHC) and its Cu(II) complex for efficient hydrogen peroxide sensing",2025,Scientific Reports,15,1,43587,,,2,https://www.scopus.com/pages/publications/105024828514?origin=resultslist,Nature Research,Article,Scopus,2-s2.0-105024828514
Jia T.; Cao S.; Liu X.; Zhang X.; Liu Y.; Cao Q.,"Jia, Tianchan (59671749300); Cao, Shengbin (56985049300); Liu, Xiaosong (57208186855); Zhang, Xue (59696422200); Liu, Yue (59107917800); Cao, Qiang (59796123800)",59671749300; 56985049300; 57208186855; 59696422200; 59107917800; 59796123800,Barium Titanate/Polyacrylonitrile Nanomembrane Nanogenerator for Detecting Electrical Signals of Human Body Movements,2025,Fibers and Polymers,26,12,,5359,5369,2,https://www.scopus.com/pages/publications/105018345895?origin=resultslist,Korean Fiber Society,Article,Scopus,2-s2.0-105018345895
Dong K.; Li X.; Sidra S.; Kim D.H.; Tran D.T.; Kim N.H.; Lee J.H.,"Dong, Kaixuan (58369359700); Li, Xue (58777930300); Sidra, Saleem (58772302700); Kim, Do Hwan (59108791500); Tran, Duy Thanh (56808962100); Kim, Nam Hoon (36078121900); Lee, Joong Hee (7601467227)",58369359700; 58777930300; 58772302700; 59108791500; 56808962100; 36078121900; 7601467227,Interrelating platinum single atom-tuned cobalt phosphide-based 2D flake network via multi–layer carbon nanotube bridges for high-efficiency water splitting,2025,Chemical Engineering Journal,524,,169674,,,4,https://www.scopus.com/pages/publications/105018861310?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105018861310
Yoshimura A.; Sano H.; Fujimura M.; Utsumi R.; Yao M.; Misaki Y.,"Yoshimura, Aya (35999163200); Sano, Hikaru (36927276300); Fujimura, Masato (60107618300); Utsumi, Ryosuke (58395291200); Yao, Masaru (14055310900); Misaki, Yohji (57226669889)",35999163200; 36927276300; 60107618300; 58395291200; 14055310900; 57226669889,Anthraquinone Derivatives with Diphenylamino or Carbazole Groups: Organic Active Materials for Use in Lithium-Ion Batteries,2025,ChemPhysChem,26,22,e202500264,,,1,https://www.scopus.com/pages/publications/105016633306?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105016633306
Gong R.; Tian M.; Wang R.; Pan M.; Pan Z.,"Gong, Ruonan (60194747400); Tian, Menglin (59711109700); Wang, Ruiyang (60193657300); Pan, Mingwang (7202544836); Pan, Zhicheng (57202993810)",60194747400; 59711109700; 60193657300; 7202544836; 57202993810,Bidirectional Hydrogel Actuators with Tunable Bending under a Single Thermal Field,2025,ACS Applied Polymer Materials,7,21,,14313,14323,1,https://www.scopus.com/pages/publications/105021863921?origin=resultslist,American Chemical Society,Article,Scopus,2-s2.0-105021863921
Sun Y.; Deng Y.; Zhou T.; Sha L.; Hu K.; Zhang D.; Jia X.; Li G.,"Sun, Yu (59743414100); Deng, Ying (57219915259); Zhou, Tianci (57659181000); Sha, Lingjun (57217225531); Hu, Kai (60002691200); Zhang, Dongmei (57189685522); Jia, Xuemei (36025459900); Li, Genxi (12243076800)",59743414100; 57219915259; 57659181000; 57217225531; 60002691200; 57189685522; 36025459900; 12243076800,An electrochemical biosensor for sensitive detection of CKAP4 with application to the diagnosis of ovarian cancer,2025,Biosensors and Bioelectronics,288,,117802,,,5,https://www.scopus.com/pages/publications/105010937789?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105010937789
Xu X.; Ma W.; Ji X.; Ren F.; He Z.; Men X.,"Xu, Xiangqian (58488625200); Ma, Wen (57773943900); Ji, Xiaokun (59953568300); Ren, Feng (59954692900); He, Zonggang (59954505500); Men, Xuehu (59924277300)",58488625200; 57773943900; 59953568300; 59954692900; 59954505500; 59924277300,Constructing a bio-based omniphobic coating with high transparency and hardness,2025,Colloids and Surfaces A: Physicochemical and Engineering Aspects,725,,137535,,,1,https://www.scopus.com/pages/publications/105008505001?origin=resultslist,Elsevier B.V.,Article,Scopus,2-s2.0-105008505001
Chu S.-S.; Cheng C.-J.; Lin X.-B.; Li S.-R.; Sun S.-S.; Li C.-T.,"Chu, Shih-Syun (59681800300); Cheng, Chih-Jung (59681288500); Lin, Xin-Bei (59337066200); Li, Sie-Rong (56033727400); Sun, Shih-Sheng (7404510318); Li, Chun-Ting (55507636700)",59681800300; 59681288500; 59337066200; 56033727400; 7404510318; 55507636700,Micro-pompon-like metal organic chalcogenides of [Fe2(6mna)2]n as electrocatalyst for Cu-neocuproine mediated dye-sensitized solar cells,2025,Electrochimica Acta,540,,147124,,,0,https://www.scopus.com/pages/publications/105013541864?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105013541864
Ma N.; Wei A.; Wang Y.; Zhang Y.; Jin Y.; Li G.; He X.,"Ma, Nanke (57215664986); Wei, Anqi (60129639400); Wang, Yajie (60129171800); Zhang, Yafeng (59011540100); Jin, Yuan (58774804300); Li, Guangli (57535418400); He, Xuliang (60111997900)",57215664986; 60129639400; 60129171800; 59011540100; 58774804300; 57535418400; 60111997900,Hierarchical α-zirconium phosphate/reduced graphene oxide nanocomposite for sensitive determination of fleroxacin,2025,Journal of Food Composition and Analysis,148,,108413,,,3,https://www.scopus.com/pages/publications/105018022238?origin=resultslist,Academic Press Inc.,Article,Scopus,2-s2.0-105018022238
Wang A.; Song W.; Guo W.; Huang B.; Zhu X.; Zhang H.; Zhai W.; Tian Y.; Ren L.,"Wang, Anmin (59965377000); Song, Wenjing (57077455600); Guo, Wentai (57194167996); Huang, Baolei (59700266800); Zhu, Xingqiang (59965507800); Zhang, Hailin (58547480300); Zhai, Wei (59408289100); Tian, Ye (60012145500); Ren, Li (57195155947)",59965377000; 57077455600; 57194167996; 59700266800; 59965507800; 58547480300; 59408289100; 60012145500; 57195155947,Autograft-matching wireless bioelectronic conduits: Magneto-electric coupling enabled taurine metabolism activation for peripheral nerve repair,2025,Bioactive Materials,54,,,387,403,3,https://www.scopus.com/pages/publications/105013969196?origin=resultslist,KeAi Communications Co.,Article,Scopus,2-s2.0-105013969196
Gong X.; Wen Y.; Pang Y.; Liu S.; Yuan Q.,"Gong, Xinxing (57209245756); Wen, Yeru (60029964500); Pang, Yimin (58731464200); Liu, Song (57226636748); Yuan, Quan (57197836127)",57209245756; 60029964500; 58731464200; 57226636748; 57197836127,Progress of Microneedle Electrochemical Biosensors for Interstitial Fluid Detection and Monitoring,2025,Chinese Journal of Chemistry,43,22,,3016,3032,9,https://www.scopus.com/pages/publications/105012590230?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105012590230
Wakale G.R.; Choudhary E.; Samtham M.; Patil A.; Yadav A.; Yadav S.; Sharma R.; Ma Y.-R.; Jangir R.; Jadhav H.; Devan R.S.,"Wakale, Girish R. (58479257400); Choudhary, Ekta (57745811200); Samtham, Manopriya (57545064000); Patil, Ajay (59482715000); Yadav, Ankit (59654211600); Yadav, Suman (59728186100); Sharma, Rishav (58955189400); Ma, Yuan-Ron (48261225900); Jangir, Ravindra (24587183800); Jadhav, Harshada (56798009700); Devan, Rupesh S. (12786818900)",58479257400; 57745811200; 57545064000; 59482715000; 59654211600; 59728186100; 58955189400; 48261225900; 24587183800; 56798009700; 12786818900,Morphology-driven interlinked 2D nanostructures anchored nickel cobalt sulfide (NiCo2S4) electrodes for high-performance symmetric supercapacitor,2025,Journal of Energy Storage,136,,118488,,,5,https://www.scopus.com/pages/publications/105017124510?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105017124510
Liu L.; Hussain M.Z.; Lei D.; Henrotte O.; Cortés E.; Bandarenka A.S.; Fischer R.A.,"Liu, Liangzhen (58681443200); Hussain, Mian Zahid (57201721383); Lei, Da (59798074800); Henrotte, Olivier (57194566820); Cortés, Emiliano (26424957600); Bandarenka, Aliaksandr S. (58160280700); Fischer, Roland A. (7403086742)",58681443200; 57201721383; 59798074800; 57194566820; 26424957600; 58160280700; 7403086742,Cobalt-Based Catalyst Integration Into a Hierarchically Ordered Macro-Meso-microporous Carbon Cathode for High-performance Aqueous Zn-Sulfur Batteries,2025,Advanced Science,12,43,e09945,,,7,https://www.scopus.com/pages/publications/105013787086?origin=resultslist,John Wiley and Sons Inc,Article,Scopus,2-s2.0-105013787086
Mizera A.; Wysocka–Żołopa M.; Zięba S.; Ławniczak P.; Dubis A.T.; Łapiński A.,"Mizera, Adam (57193570116); Wysocka–Żołopa, Monika (60096983700); Zięba, Sylwia (56110033000); Ławniczak, Paweł (35074372800); Dubis, Alina T. (6602501458); Łapiński, Andrzej (7003346169)",57193570116; 60096983700; 56110033000; 35074372800; 6602501458; 7003346169,New polypyrrole composites with graphene quantum dots as counterions: electrical and spectroscopic properties,2025,Polymer,338,,129048,,,1,https://www.scopus.com/pages/publications/105015709892?origin=resultslist,Elsevier Ltd,Article,Scopus,2-s2.0-105015709892
